job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00001,AI Research Scientist,88700,USD,EN,CT,China,M,China,38,"Data Analysis, Mathematics, PyTorch, Research, Python",Bachelor,9,Automotive,2024-10-18,2024-11-07,1148,5.9,Smart Analytics
AI00002,AI Software Engineer,62392,USD,MI,CT,Canada,M,Ireland,100,"PyTorch, AWS, Linux",Master,1,Media,2024-11-20,2025-01-11,1307,4.2,TechCorp Inc
AI00003,AI Specialist,151827,USD,MI,FL,Switzerland,L,South Korea,0,"Data Analysis, Python, AWS, Linux, SQL",Associate,2,Education,2025-03-18,2025-04-07,2061,9.6,Autonomous Tech
AI00004,NLP Engineer,82057,USD,MI,FL,India,M,India,42,"CI/CD, PyTorch, SQL",PhD,7,Consulting,2024-12-23,2025-02-24,1466,7.7,Future Systems
AI00005,AI Consultant,53514,EUR,MI,PT,France,S,Singapore,88,"Python, SQL, AWS, Linux, Machine Learning",Master,0,Media,2025-04-15,2025-06-23,1943,6.8,Advanced Robotics
AI00006,AI Architect,128298,EUR,SE,CT,Germany,M,Germany,65,"Kubernetes, Security, System Design, AWS",Associate,7,Healthcare,2024-08-31,2024-10-04,968,6.3,Neural Networks Co
AI00007,Principal Data Scientist,72042,GBP,SE,FL,United Kingdom,S,United Kingdom,0,"Mathematics, Deep Learning, Statistics",Associate,3,Gaming,2024-12-29,2025-02-28,1872,6.3,DataVision Ltd
AI00008,Training Data Engineer,72321,EUR,EN,FL,France,L,France,15,"Kubernetes, SQL, TensorFlow, PyTorch",Master,0,Healthcare,2024-06-07,2024-07-01,1229,7.1,Cloud AI Solutions
AI00009,Data Analyst,160171,USD,SE,CT,Singapore,L,Singapore,0,"Data Visualization, Tableau, Python",PhD,7,Government,2024-11-04,2024-11-24,677,9.3,Quantum Computing Inc
AI00010,AI Software Engineer,104255,USD,EN,PT,Austria,M,Austria,0,"Git, Linux, CI/CD",Master,5,Government,2024-10-20,2024-11-06,2379,6.7,Cloud AI Solutions
AI00011,Prompt Engineer,101531,USD,EX,PT,Sweden,M,Sweden,87,"Python, TensorFlow, Linux, Kubernetes",Associate,8,Telecommunications,2025-01-29,2025-03-05,1209,10.0,Smart Analytics
AI00012,AI Architect,118698,USD,SE,CT,South Korea,S,South Korea,0,"Kubernetes, System Design, Security",Master,15,Manufacturing,2024-07-16,2024-08-19,487,6.6,TechCorp Inc
AI00013,Edge AI Engineer,128269,EUR,MI,CT,France,M,France,82,"TensorFlow, Linux, Python, CI/CD, Kubernetes",PhD,5,Automotive,2024-12-29,2025-01-27,760,5.8,Predictive Systems
AI00014,Autonomous Systems Engineer,63686,USD,SE,CT,Norway,S,Norway,0,"PyTorch, Docker, SQL, AWS",Master,0,Energy,2024-02-11,2024-02-25,1797,8.9,Cloud AI Solutions
AI00015,Model Evaluation Engineer,150392,USD,MI,FT,Sweden,M,Sweden,100,"Python, SQL, Git, PyTorch",Associate,6,Technology,2024-10-02,2024-11-26,1485,10.0,Advanced Robotics
AI00016,AI Data Curator,81778,GBP,SE,PT,United Kingdom,L,Spain,0,"SQL, Python, Linux, Data Analysis, Machine Learning",PhD,0,Consulting,2024-09-28,2024-10-26,2069,10.0,DataVision Ltd
AI00017,Principal Data Scientist,60549,USD,MI,FT,India,L,India,92,"Python, Experiment Design, Research, Statistics, PyTorch",Bachelor,1,Real Estate,2025-02-06,2025-03-26,1096,5.6,Predictive Systems
AI00018,Machine Learning Engineer,183060,EUR,MI,CT,France,L,France,100,"CI/CD, SQL, Linux, PyTorch",Associate,15,Real Estate,2024-04-24,2024-06-03,2052,8.6,AI Innovations
AI00019,Data Engineer,154653,USD,EN,CT,Singapore,M,Singapore,0,"Python, AWS, Kubernetes, Git, Docker",Associate,9,Finance,2024-04-30,2024-05-29,653,8.9,Algorithmic Solutions
AI00020,Speech Recognition Engineer,94658,EUR,EN,PT,Netherlands,L,Germany,98,"Python, TensorFlow, Kubernetes, AWS, CI/CD",PhD,4,Transportation,2024-05-01,2024-07-02,1965,7.8,AI Innovations
AI00021,Speech Recognition Engineer,134083,USD,MI,FT,Norway,M,France,0,"Linux, Python, CI/CD, PyTorch, TensorFlow",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,958,10.0,AI Innovations
AI00022,Computational Scientist,98817,USD,MI,PT,United States,M,United States,0,"Data Analysis, Experiment Design, PyTorch, Mathematics, Deep Learning",Bachelor,2,Automotive,2024-04-23,2024-06-23,593,8.5,Cognitive Computing
AI00023,ML Ops Engineer,100710,EUR,SE,CT,Germany,S,Germany,9,"Docker, AWS, TensorFlow",PhD,7,Automotive,2025-03-13,2025-05-11,1550,6.9,Quantum Computing Inc
AI00024,Algorithm Engineer,51302,USD,EN,FT,Austria,M,Ireland,100,"Git, Kubernetes, Python",Master,4,Telecommunications,2024-06-07,2024-06-24,2316,9.2,Cloud AI Solutions
AI00025,ML Ops Engineer,51811,USD,MI,FT,China,S,China,0,"SQL, Python, Linux",Bachelor,2,Healthcare,2024-10-27,2024-11-18,1004,6.1,AI Innovations
AI00026,Robotics Engineer,112441,USD,MI,PT,Spain,L,Spain,100,"Kubernetes, Python, TensorFlow, Docker",PhD,6,Government,2024-08-01,2024-10-02,1048,9.4,DataVision Ltd
AI00027,ML Ops Engineer,82068,USD,EN,CT,Australia,S,India,44,"CI/CD, Kubernetes, SQL",Master,2,Media,2024-11-18,2025-01-18,2112,7.6,TechCorp Inc
AI00028,Data Analyst,50201,USD,MI,PT,Austria,M,Singapore,0,"Statistics, Power BI, SQL",PhD,2,Government,2025-01-10,2025-02-20,2187,8.1,Predictive Systems
AI00029,AI Platform Engineer,41291,USD,MI,CT,Ireland,M,Ireland,69,"Git, Python, CI/CD",PhD,0,Healthcare,2024-10-08,2024-11-20,2230,9.2,Cognitive Computing
AI00030,ML Ops Engineer,85204,USD,EN,CT,Spain,L,Spain,100,"Linux, PyTorch, Python, Kubernetes",Master,2,Retail,2024-01-18,2024-02-25,1147,5.7,Future Systems
AI00031,Head of AI,70659,EUR,EN,FT,Netherlands,M,Netherlands,100,"AWS, Linux, SQL, Data Analysis, Machine Learning",Master,1,Retail,2024-05-16,2024-07-26,898,5.6,Advanced Robotics
AI00032,Prompt Engineer,71256,USD,SE,FT,Denmark,M,Denmark,0,"Docker, Kubernetes, TensorFlow, PyTorch",Master,1,Real Estate,2024-01-31,2024-03-08,2076,9.3,Cloud AI Solutions
AI00033,Speech Recognition Engineer,146329,USD,SE,FT,Switzerland,S,Switzerland,50,"SQL, Python, PyTorch",PhD,7,Real Estate,2024-08-28,2024-09-20,684,4.9,Cognitive Computing
AI00034,ML Ops Engineer,179417,USD,MI,FL,Finland,M,Finland,0,"PyTorch, Linux, Docker, TensorFlow",Associate,16,Education,2024-03-01,2024-03-19,2029,5.6,Predictive Systems
